source_path,proposed_destination,filename,record_type,authority_layer,lifecycle,access,governing_source,supersedes,superseded_by,duplicate_status,reference_risk,rationale,confidence,owner_decision_required
docs/ACTIVE_GATE_REVIEW_QUEUE_AND_SENDCOMM_ACCESS_RESULT_2026-07-06.md,docs/governance/ACTIVE_GATE_REVIEW_QUEUE_AND_SENDCOMM_ACCESS_RESULT_2026-07-06.md,ACTIVE_GATE_REVIEW_QUEUE_AND_SENDCOMM_ACCESS_RESULT_2026-07-06.md,cadence,sentinel_ai,review_held,public,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/API_CONTROL_EXECUTE_HARDENING_DECISION_PACKET_2026-07-06.md,docs/governance/API_CONTROL_EXECUTE_HARDENING_DECISION_PACKET_2026-07-06.md,API_CONTROL_EXECUTE_HARDENING_DECISION_PACKET_2026-07-06.md,policy,sentinel_ai,active_supporting,protected,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/APPROVED_RUNTIME_UPGRADE_INTRODUCTION_PACKET_2026-07-06.md,docs/governance/APPROVED_RUNTIME_UPGRADE_INTRODUCTION_PACKET_2026-07-06.md,APPROVED_RUNTIME_UPGRADE_INTRODUCTION_PACKET_2026-07-06.md,policy,sentinel_ai,active_supporting,public,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/ARCHITECTURE_ALIGNMENT_PLAN_2026-05-11.md,docs/governance/ARCHITECTURE_ALIGNMENT_PLAN_2026-05-11.md,ARCHITECTURE_ALIGNMENT_PLAN_2026-05-11.md,policy,sentinel_ai,archive_candidate,internal,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/ARCHITECTURE_INDEX_2026-05-11.md,docs/governance/ARCHITECTURE_INDEX_2026-05-11.md,ARCHITECTURE_INDEX_2026-05-11.md,doctrine,sentinel_ai,canonical_active,internal,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/ARCHIVE_INTELLIGENCE_DOCKING_2026-05-13.md,docs/governance/ARCHIVE_INTELLIGENCE_DOCKING_2026-05-13.md,ARCHIVE_INTELLIGENCE_DOCKING_2026-05-13.md,policy,sentinel_ai,historical,public,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/ARCHIVE_INTELLIGENCE_INGESTION_LEDGER_2026-05-13.md,docs/governance/ARCHIVE_INTELLIGENCE_INGESTION_LEDGER_2026-05-13.md,ARCHIVE_INTELLIGENCE_INGESTION_LEDGER_2026-05-13.md,policy,sentinel_ai,historical,internal,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/ARIZONA_SPO_MODERNIZATION_BRIEF_LAYOUT.md,docs/governance/ARIZONA_SPO_MODERNIZATION_BRIEF_LAYOUT.md,ARIZONA_SPO_MODERNIZATION_BRIEF_LAYOUT.md,policy,sentinel_os,review_held,public,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/ARIZONA_SPO_MODERNIZATION_BRIEF_LAYOUT.pdf,docs/governance/ARIZONA_SPO_MODERNIZATION_BRIEF_LAYOUT.pdf,ARIZONA_SPO_MODERNIZATION_BRIEF_LAYOUT.pdf,archive_candidate,sentinel_os,archive_candidate,internal,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/AUTHORITATIVE_GOVERNMENT_OUTCOME_INTAKE_WORKSHEET_2026-06-12.md,docs/governance/AUTHORITATIVE_GOVERNMENT_OUTCOME_INTAKE_WORKSHEET_2026-06-12.md,AUTHORITATIVE_GOVERNMENT_OUTCOME_INTAKE_WORKSHEET_2026-06-12.md,operating_model,sentinel_ai,review_held,restricted,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/AUTHORITATIVE_GOVERNMENT_OUTCOME_INTAKE_WORKSHEET_REVIEW_RESULT_2026-06-12.md,docs/governance/AUTHORITATIVE_GOVERNMENT_OUTCOME_INTAKE_WORKSHEET_REVIEW_RESULT_2026-06-12.md,AUTHORITATIVE_GOVERNMENT_OUTCOME_INTAKE_WORKSHEET_REVIEW_RESULT_2026-06-12.md,operating_model,sentinel_ai,review_held,held,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/AZURE_ENVIRONMENT_DISCOVERY_RESULT_2026-05-30.md,docs/governance/AZURE_ENVIRONMENT_DISCOVERY_RESULT_2026-05-30.md,AZURE_ENVIRONMENT_DISCOVERY_RESULT_2026-05-30.md,template,sentinel_ai,review_held,held,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/AZURE_OWNERFI_PROOF_GREAT_HOLD_STATE_2026-07-03.md,docs/governance/AZURE_OWNERFI_PROOF_GREAT_HOLD_STATE_2026-07-03.md,AZURE_OWNERFI_PROOF_GREAT_HOLD_STATE_2026-07-03.md,operating_model,sentinel_ai,superseded,restricted,needs_owner_mapping,d by the current read-only evidence showing Container App,the current read-only evidence showing Container App,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/AZURE_REACTIVATION_CHECK_RESULT_2026-07-03.md,docs/governance/AZURE_REACTIVATION_CHECK_RESULT_2026-07-03.md,AZURE_REACTIVATION_CHECK_RESULT_2026-07-03.md,evidence,sentinel_ai,active_supporting,restricted,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/BILLING_FUNNEL_READINESS.md,docs/governance/BILLING_FUNNEL_READINESS.md,BILLING_FUNNEL_READINESS.md,evidence,sentinel_ai,active_supporting,internal,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/BOTTLENECK_CLEARANCE_AND_DECISION_REGISTER_2026-05-31.md,docs/governance/BOTTLENECK_CLEARANCE_AND_DECISION_REGISTER_2026-05-31.md,BOTTLENECK_CLEARANCE_AND_DECISION_REGISTER_2026-05-31.md,template,sentinel_ai,review_held,public,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
docs/BUILD_MANUAL_REVIEW_2026-05-06.md,docs/governance/BUILD_MANUAL_REVIEW_2026-05-06.md,BUILD_MANUAL_REVIEW_2026-05-06.md,doctrine,sentinel_ai,active_supporting,internal,needs_owner_mapping,,,none,medium,Proposed canonical placement based on authority layer and record type.,0.74,yes
